name,country,type,alt_name_1,alt_name_2,alt_name_3,alt_name_4,alt_name_5,alt_name_6,alt_name_7,alt_name_8,alt_name_9,alt_name_10
Tencent,China,Company,Tencent AI Lab,,,,,,,,,
Lenovo,China,Company,Lenovo Research & Technology,@lenovo.com,,,,,,,,
Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education,China,Government,,,,,,,,,,
Universidad Nacional de Colombia,Colombia,Academia,,,,,,,,,,
Czech Technical University,Czechia,Academia,,,,,,,,,,
IT University of Copenhagen,Denmark,Academia,,,,,,,,,,
Technical University of Denmark,Denmark,Academia,Technical Univ. of Denmark,,,,,,,,,
University of Copenhagen,Denmark,Academia,Univ of Copenhagen,Univ. of Copenhagen,Niels Bohr Institute,,,,,,,
FindZebra,Denmark,Company,,,,,,,,,,
Aalto University,Finland,Academia,,,,,,,,,,
Helsinki University of Technology,Finland,Academia,,,,,,,,,,
University of Helsinki,Finland,Academia,Univ of Helsinki,Univ. of Helsinki,,,,,,,,
University of Jyvaskylat,Finland,Academia,,,,,,,,,,
Curious AI Company,Finland,Company,,,,,,,,,,
Nokia,Finland,Company,,,,,,,,,,
VTT Technical Research Centre of Finland,Finland,Government,,,,,,,,,,
Aix-Marseille Universit?e,France,Academia,,,,,,,,,,
Ecole Normale Superieure,France,Academia,ENS,École Normale Supérieure,ens.fr,E?cole Normale Superieure,,ENS Cachan - CMLA,,,,
École Polytechnique,France,Academia,"?cole Polytechnique,Palaiseau","?cole Polytechnique, Palaiseau",,Ecole Polytechnique,,,,,,
EPFL,France,Academia,Ecole polytechnique fédérale de Lausanne,,,,,,,,,
INSA de Rouen,France,Academia,,,,,,,,,,
INSEAD,France,Academia,,,,,,,,,,
Institut Universitaire de France,France,Academia,,,,,,,,,,
Jean Monnet University,France,Academia,l'Université Jean Monnet,,,,,,,,,
PSL Research University,France,Academia,,,,,,,,,,
Supélec,France,Academia,Sup?lec,,,,,,,,,
Telecom ParisTech,France,Academia,,,,,,,,,,
Universit? Joseph Fourier,France,Academia,,,,,,,,,,
Universit?e de Rouen,France,Academia,,,,,,,,,,
Universit?e de Technologie de Compi`egne,France,Academia,,,,,,,,,,
Universit?e Paris VI,France,Academia,,,,,,,,,,
Universit?e Paris-Sud,France,Academia,Université Paris Sud,,,,,,,,,
Universit?e Pierre et Marie Curie,France,Academia,,,,,,,,,,
Universit?e Ren?e Descartes,France,Academia,,,,,,,,,,
Universite Bordeaux,France,Academia,Univ. Bordeaux,,,,,,,,,
Universite Cote d'Azur,France,Academia,,,,,,,,,,
Universite de Bretagne Sud,France,Academia,,,,,,,,,,
Universite de Lorraine,France,Academia,,,,,,,,,,
Université de Lyon,France,Academia,,,,,,,,,,
Universite de Rouen,France,Academia,,,,,,,,,,
Universite de Technologie de Compiegne,France,Academia,,,,,,,,,,
Universite Paris-Saclay,France,Academia,Université Paris Saclay,Universit?e Paris-Saclay,,,,,,,,
Universite Pierre et Marie Curie,France,Academia,,,,,,,,,,
Universite St Etienne,France,Academia,,,,,,,,,,
University of Grenoble,France,Academia,Univ of Grenoble,Univ. of Grenoble,Universit?e Grenoble I,Universit´e de Grenoble,,,,,,
University of Lille,France,Academia,Université de Lille,,,,,,,,,
University Paris Descartes,France,Academia,Univ Paris Descartes,Univ. Paris Descartes,,,,,,,,
Universit´e Paris-Est,France,Academia,,,,,,,,,,
Ecole des Ponts ParisTech,France,Academia,,,,,,,,,,
University of Artois,France,Academia,,,,,,,,,,
Paris Dauphine University,France,Academia,,,,,,,,,,
France-Telecom,France,Company,,,,,,,,,,
La Poste/SRTP,France,Company,La Poste,,,,,,,,,
Orange Telecom,France,Company,@orange.com,,,,,,,,,
Sanoﬁ,France,Company,,,,,,,,,,
Centre de Recherche Cerveau & Cognition,France,Government,,,,,,,,,,
CNRS,France,Government,,,,,,,,,,
Georges-Pompidou European Hospital,France,Government,,,,,,,,,,
INRIA,France,Government,Inria,INRIA Lille,inria.fr,Inria Bordeaux Sud-Ouest,INRIA Grenoble,,,,,
Institut de Physique Théorique,France,Government,,,,,,,,,,
Irstea,France,Government,CEMAGREF,Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture,,,,,,,,
lip6.fr,France,Government,,,,,,,,,,
LORIA,France,Government,,,,,,,,,,
ATR Computational Neuroscience Laboratories,France,Independent Research,ATR Computational Neuroscience laboratories,ATR,,,,,,,,
Bosch GmbH,Germany,Company,Bosch Center for Artificial Intelligence,,,,,,,,,
Berlin Institute of Technology,Germany,Academia,Technische Universit?at Berlin,,,,,,,,,
Friedrich Schiller University Jena,Germany,Academia,University of Jena,,,,,,,,,
Gerhard-Mercator-University Duisburg,Germany,Academia,,,,,,,,,,
Goethe-University Frankfurt,Germany,Academia,,,,,,,,,,
Heidelberg University,Germany,Academia,University of Heidelberg,@iwr.uni-heidelberg.de,,,,,,,,
Humboldt University,Germany,Academia,,,,,,,,,,
Karlsruhe Institute of Technology,Germany,Academia,Universitiit Karlsruhe,Universitat Karlsruhe,Universitat Fridericiana Karlsruhe,,,,,,,
Ludwig-Maximilians-University,Germany,Academia,Ludwig-Maximilians-Univ.,,,,,,,,,
Medical School Hannover,Germany,Academia,,,,,,,,,,
Ruprecht-Karls-Universit?at Heidelberg,Germany,Academia,,,,,,,,,,
RWTH Aachen,Germany,Academia,,,,,,,,,,
Saarland University,Germany,Academia,,,,,,,,,,
Technical University Berlin,Germany,Academia,Berlin University of Technology,Technische Universitat Berlin,tu-berlin.de,TU Berlin,,,,,,
Technical University Darmstadt,Germany,Academia,Technical University of Darmstadt,Technische Universit¨at Darmstadt,Technische Universität Darmstadt,,,,,,,
Technical University of Berlin,Germany,Academia,,,,,,,,,,
TU Chemnitz,Germany,Academia,,,,,,,,,,
TU Darmstadt,Germany,Academia,,,,,,,,,,
TU Dresden,Germany,Academia,,,,,,,,,,
TU Munchen,Germany,Academia,Technische Universitat Munchen,TU Munich,Technical University of Munich,TUM,Technische Universit¨at M¨unchen,,,,,
Universitat Frankfurt,Germany,Academia,,,,,,,,,,
Universitat Ulm,Germany,Academia,University of Ulm,,,,,,,,,
University G?ottingen,Germany,Academia,,,,,,,,,,
University Medicine Berlin,Germany,Academia,,,,,,,,,,
University of Bielefeld,Germany,Academia,,,,,,,,,,
University of Bonn,Germany,Academia,Univ of Bonn,Univ. of Bonn,Rheinische Friedrich-Wilhelms-U niversitat,,,,,,,
University of Bremen,Germany,Academia,,,,,,,,,,
University of Freiburg,Germany,Academia,,,,,,,,,,
University of Freiburg,Germany,Academia,,,,,,,,,,
University of Hamburg,Germany,Academia,Universit¨at Hamburg,@informatik.uni-hamburg.de,,,,,,,,
University of Kiel,Germany,Academia,Christian-Albrechts-Uni versitiit Kiel,Christian-Albrechts-Universi tat Kiel,,,,,,,,
University of Oldenburg,Germany,Academia,,,,,,,,,,
University of Potsdam,Germany,Academia,,,,,,,,,,
University of Tubingen,Germany,Academia,Univ of Tubingen,Univ. of Tubingen,University of Tübingen,University T¨ubingen,bethgelab.org,,,,,
Marburg University,Germany,Academia,,,,,,,,,,
Freie Universit¨at Berlin,Germany,Academia,,,,,,,,,,
Jacobs University Bremen,Germany,Academia,,,,,,,,,,
University of Paderborn,Germany,Academia,,,,,,,,,,
LIFE Biosystems GmbH,Germany,Company,Life Technologies,,,,,,,,,
Robert Bosch,Germany,Company,,,,,,,,,,
Siemens,Germany,Company,Siemens AG,"Siemans Corporate Research, Inc.",Siemens Corporate Research,Siemens Corporate Technology,,,,,,
Volkswagen,Germany,Company,,,,,,,,,,
German National Research Center for Computer Science (GMD),Germany,Government,GMD,GMD.de,,,,,,,,
University of Stuttgart,Germany,Government,,,,,,,,,,
Central Institute of Mental Health,Germany,Independent Research,,,,,,,,,,
Centrum Wiskunde & Informatica,Germany,Independent Research,,,,,,,,,,
Fraunhofer First,Germany,Independent Research,Fraunhofer Institute FIRST (IDA),Fraunhofer FIRST,GMD FIRST,GMD-First,,,,,,
Helmholtz-Zentrum Dresden-Rossendorf e.V.,Germany,Independent Research,,,,,,,,,,
Max Planck Society,Germany,Independent Research,Max Planck Institute,Max-Planck Institut fur biologische Kybernetik,Max-Planck-Institut ,Max-Planck-Institut fur biologische Kybernetik,MPI for Biological Cybernetics,Max-Planck Institute for Informatics,MPI for Intelligent Systems,Max Planck Institute for Intelligent Systems,,
Athens University of Economics and Business,Greece,Academia,Athens University,,,,,,,,,
Technical University of Crete,Greece,Academia,,,,,,,,,,
Cyprus University of Technology,Greece,Academia,,,,,,,,,,
Chinese University of Hong Kong,Hong Kong,Academia,,,,,,,,,,
City University of Hong Kong,Hong Kong,Academia,,,,,,,,,,
Hong Kong Baptist University,Hong Kong,Academia,,,,,,,,,,
Hong Kong University of Science and Technology,Hong Kong,Academia,HKUST,,,,,,,,,
"Hong Kong University of Science and Technology, Hong Kong",Hong Kong,Academia,,,,,,,,,,
The Chinese University of Hong Kong,Hong Kong,Academia,,,,,,,,,,
Hong Kong Polytechnic University,Hong Kong,Academia,,,,,,,,,,
The University of Hong Kong,Hong Kong,Academia,,,,,,,,,,
Hong Kong Observatory,Hong Kong,Government,,,,,,,,,,
Technical University of Budapest,Hungary,Academia,,,,,,,,,,
Gravity R&D,Hungary,Company,@gravityrd.com,Gravity R&D Inc.,,,,,,,,
I.I.T. Bombay,India,Academia,Indian Institute of Technology Bombay,,,,,,,,,
I.I.T. Delhi,India,Academia,Indian Institute of Technology Delhi,,,,,,,,,
IIIT Hyderabad,India,Academia,,,,,,,,,,
IIT Kanpur,India,Academia,,,,,,,,,,
IIT Madras,India,Academia,Indian Institute of Technology Madras,"Indian Institute of Technology, Madras",,,,,,,,
Indian Institute of Science,India,Academia,,,,,,,,,,
Lahore University of Management Sciences,India,Academia,,,,,,,,,,
ERNET,India,Government,ernet.in,,,,,,,,,
University College Dublin,Ireland,Academia,,,,,,,,,,
University College Cork,Ireland,Academia,,,,,,,,,,
Ariel University,Israel,Academia,,,,,,,,,,
Bar-Ilan University,Israel,Academia,Bar Ilan University,,,,,,,,,
Ben Gurion University,Israel,Academia,@CS.BGU.AC.IL,,,,,,,,,
Ben-Gurion University of the Negev,Israel,Academia,,,,,,,,,,
Hebrew University,Israel,Academia,huji.ac.il,Hebrew University of Jerusalem,,,,,,,,
Open University of Israel,Israel,Academia,,,,,,,,,,
Technion,Israel,Academia,,,,,,,,,,
Tel Aviv University,Israel,Academia,Tel-Aviv University,,,,,,,,,
Weizmann Institute of Science,Israel,Independent Research,,,,,,,,,,
International School for Advanced Studies,Italy,Academia,,,,,,,,,,
Politecnico di Milano,Italy,Academia,,,,,,,,,,
Rome University,Italy,Academia,,,,,,,,,,
Sapienza University,Italy,Academia,,,,,,,,,,
Universit`a dell?Insubria,Italy,Academia,,,,,,,,,,
Universit`a di Genova,Italy,Academia,University of Genova,,,,,,,,,
Universit`a di Milano,Italy,Academia,Universita' di Milano,,,,,,,,,
Universit`a di Modena,Italy,Academia,,,,,,,,,,
Universita degli Studi di Milano,Italy,Academia,,,,,,,,,,
University of Florence,Italy,Academia,Univ of Florence,Univ. of Florence,,,,,,,,
University of Genoa,Italy,Academia,Univ of Genoa,Univ. of Genoa,,,,,,,,
University of Milan,Italy,Academia,Univ of Milan,Univ. of Milan,,,,,,,,
University of Padova,Italy,Academia,,,,,,,,,,
University of Perugia,Italy,Academia,Univ of Perugia,Univ. of Perugia,,,,,,,,
University of Pisa,Italy,Academia,Universita di Pisa,Pisa University,,,,,,,,
University of Rome,Italy,Academia,Univ of Rome,Univ. of Rome,,,,,,,,
University of Siena,Italy,Academia,Univ of Siena,Univ. of Siena,,,,,,,,
University of Trento,Italy,Academia,Univ of Trento,Univ. of Trento,,,,,,,,
University of Salerno,Italy,Academia,@DIA.UNISA.IT,,,,,,,,,
Politecnico di Torino,Italy,Academia,Polytechnic University of Turin,,,,,,,,,
Free University of Bozen-Bolzano,Italy,Academia,,,,,,,,,,
University of Brescia,Italy,Academia,,,,,,,,,,
University of Roma,Italy,Academia,,,,,,,,,,
Italian National Inst. of Health,Italy,Government,,,,,,,,,,
Istituto Italiano di Tecnologia,Italy,Independent Research,,,,,,,,,,
Istituto per La Ricerca,Italy,Independent Research,Istituto per la Ricerca Sociale,,,,,,,,,
Hiroshima City University,Japan,Academia,,,,,,,,,,
Hiroshima University,Japan,Academia,,,,,,,,,,
Hokkaido University,Japan,Academia,,,,,,,,,,
Hosei University,Japan,Academia,,,,,,,,,,
Kanagawa University,Japan,Academia,,,,,,,,,,
Keio University,Japan,Academia,,,,,,,,,,
Kyoto Prefecture University,Japan,Academia,,,,,,,,,,
Kyoto University,Japan,Academia,,,,,,,,,,
Kyushu Institute of Technology,Japan,Academia,,,,,,,,,,
Nagoya Institute of Technology,Japan,Academia,,,,,,,,,,
Nara Institute of Science and Technology,Japan,Academia,,,,,,,,,,
Osaka University,Japan,Academia,,,,,,,,,,
Tohoku University,Japan,Academia,,,,,,,,,,
Tokai University,Japan,Academia,,,,,,,,,,
Tokyo Inst. of Tech.,Japan,Academia,Tokyo Institute of Technology,,,,,,,,,
Tokyo Metropolitan University,Japan,Academia,,,,,,,,,,
Tsukuba University,Japan,Academia,University of Tsukuba,,,,,,,,,
University of Tokyo,Japan,Academia,Univ of Tokyo,Univ. of Tokyo,,,,,,,,
University of Hyogo,Japan,Academia,,,,,,,,,,
Ritsumeikan University,Japan,Academia,,,,,,,,,,
Kyushu University,Japan,Academia,,,,,,,,,,
Fujitsu,Japan,Company,,,,,,,,,,
Mitsubishi,Japan,Company,,,,,,,,,,
NEC,Japan,Company,,,,,,,,,,
Nikon Corporation,Japan,Company,,,,,,,,,,
NTT,Japan,Company,,,,,,,,,,
Panasonic,Japan,Company,,,,,,,,,,
Ricoh,Japan,Company,Ricoh California Research Center,,,,,,,,,
Sharp,Japan,Company,,,,,,,,,,
Sony,Japan,Company,Sony CSL,,,,,,,,,
Sumitomo mitsui,Japan,Company,,,,,,,,,,
Toyota,Japan,Company,,,,,,,,,,
Institute of Statistical Mathematics,Japan,Government,,,,,,,,,,
Japan Science and Technology Agency,Japan,Government,Japan Science and Technology Corporation,,,,,,,,,
National Institute of Informatics,Japan,Government,,,,,,,,,,
RIKEN,Japan,Government,Riken,RlKEN Brain Science Institute,,,,,,,,
The Institute of Statistical Mathematics Japan,Japan,Government,,,,,,,,,,
University of Luxembourg,Luxembourg,Academia,Univ of Luxembourg,Univ. of Luxembourg,,,,,,,,
Eindhoven University of Technology,Netherlands,Academia,,,,,,,,,,
Leiden University,Netherlands,Academia,,,,,,,,,,
Radboud University,Netherlands,Academia,,,,,,,,,,
University of Amsterdam,Netherlands,Academia,Univ of Amsterdam,Univ. of Amsterdam,Universiteit van Amsterdam,,,,,,,
University of Nijmegen,Netherlands,Academia,,,,,,,,,,
Wageningen University,Netherlands,Academia,,,,,,,,,,
Philips,Netherlands,Company,,,,,,,,,,
The University of Auckland,New Zealand,Academia,,,,,,,,,,
Norwegian University of Life Sciences,Norway,Academia,,,,,,,,,,
University of Oslo,Norway,Academia,,,,,,,,,,
Poznan University of Technology,Poland,Academia,Pozna´n University of Technology,,,,,,,,,
Jagiellonian University,Poland,Academia,,,,,,,,,,
University of Warsaw,Poland,Academia,,,,,,,,,,
University of Coimbra,Portugal,Academia,,,,,,,,,,
University of Porto,Portugal,Academia,,,,,,,,,,
University of Minho ,Portugal,Academia,Campus de Gualtar,,,,,,,,,
Universidade Nova de Lisboa,Portugal,Academia,,,,,,,,,,
INESC-ID,Portugal,Independent Research,,,,,,,,,,
Qatar Computing Research Institute,Qatar,Independent Research,,,,,,,,,,
Higher School of Economics,Russia,Academia,,,,,,,,,,
Moscow Institute of Physics and Technology,Russia,Academia,,,,,,,,,,
Yandex,Russia,Company,,,,,,,,,,
Skolkovo Institute of Science and Technology,Russia,Academia,Skoltech,,,,,,,,,
Russian Academy of Sciences,Russia,Government,USSR Academy of Sciences,,,,,,,,,
Nanyang Technological University,Singapore,Academia,"NTU, Singapore",NTU Singapore,,,,,,,,
National University of Singapore,Singapore,Academia,,,,,,,,,,
Singapore Management University,Singapore,Academia,,,,,,,,,,
Singapore University of Technology and Design,Singapore,Academia,,,,,,,,,,
A*STAR,Singapore,Government,Institute for Infocomm Research,,,,,,,,,
DSO National Laboratories,Singapore,Government,,,,,,,,,,
KAIST,South Korea,Academia,,,,,,,,,,
Myong Ji University,South Korea,Academia,,,,,,,,,,
Pohang University of Science and Technology,South Korea,Academia,Pohang Institute of Science and Technology,POSTECH,,,,,,,,
Seoul National University,South Korea,Academia,,,,,,,,,,
Lunit Inc.,South Korea,Company,,,,,,,,,,
NAVER,South Korea,Company,,,,,,,,,,
Samsung,South Korea,Company,,,,,,,,,,
SK T-Brain,South Korea,Company,,,,,,,,,,
Electronics and Telecommunications Research Institute,South Korea,Government,,,,,,,,,,
Universidad Carlos ill de Madrid,Spain,Academia,Universidad Carlos III de Madrid,Universidad Carlos III de Madrid,,,,,,,,
Universitat de Valencia,Spain,Academia,,,,,,,,,,
Universitat Politechnica Catalunya,Spain,Academia,,,,,,,,,,
Universitat Pompeu Fabra,Spain,Academia,,,,,,,,,,
Universidad de Zaragoza,Spain,Academia,,,,,,,,,,
Universidad Politécnica de Madrid,Spain,Academia,@upm.es,,,,,,,,,
ICREA,Spain,Government,,,,,,,,,,
Institute of Microelectronics of Barcelona IMB-SNM,Spain,Government,CNM-CSIC,,,,,,,,,
Chalmers University,Sweden,Academia,,,,,,,,,,
KTH Royal Institute of Technology,Sweden,Academia,"KTH, Royal Institute of technology",,,,,,,,,
Lund University,Sweden,Academia,,,,,,,,,,
Uppsala University,Sweden,Academia,,,,,,,,,,
Link¨oping University,Sweden,Academia,,,,,,,,,,
Spotify,Sweden,Company,,,,,,,,,,
NORDITA,Sweden,Government,,,,,,,,,,
ETH Zurich,Switzerland,Academia,Swiss Federal Institute of Technology,ETH Zürich,ethz.ch,ETH Z?urich,,,,,,
Universita della Svizzera italiana,Switzerland,Academia,,,,,,,,,,
University of Basel,Switzerland,Academia,unibas.ch,,,,,,,,,
University of Bern,Switzerland,Academia,Univ of Bern,Univ. of Bern,,,,,,,,
University of Geneva,Switzerland,Academia,,,,,,,,,,
IDSIA,Switzerland,Government,,,,,,,,,,
Idiap Research Institute,Switzerland,Independent Research,,,,,,,,,,
Academia Sinica,Taiwan,Academia,,,,,,,,,,
National Taiwan University,Taiwan,Academia,,,,,,,,,,
Boğaziçi University,Turkey,Academia,boun.edu.tr,,,,,,,,,
Sabancı University,Turkey,Academia,Sabanci University,,,,,,,,,
Aston University,UK,Academia,,,,,,,,,,
Imperial College London,UK,Academia,,,,,,,,,,
King's College London,UK,Academia,@kcl.ac.uk,,,,,,,,,
London School of Economics,UK,Academia,LSE,,,,,,,,,
Newcastle University,UK,Academia,,,,,,,,,,
Univ. of Hertfordshire,UK,Academia,,,,,,,,,,
University College London,UK,Academia,Univ College London,Univ. College London,"Gatsby Computational Neuroscience Unit, UCL","Gatsby Unit, UCL",,,,,,
University of Birmingham,UK,Academia,Univ of Birmingham,Univ. of Birmingham,,,,,,,,
University of Bristol,UK,Academia,Univ of Bristol,Univ. of Bristol,,,,,,,,
University of Cambridge,UK,Academia,Univ of Cambridge,Univ. of Cambridge,Cambridge University,Cambridge Medical School,CMS,cam.ac.uk,,,,
University of Edinburgh,UK,Academia,Univ of Edinburgh,Univ. of Edinburgh,Edinburgh University,,,,,,,
University of Glasgow,UK,Academia,Univ of Glasgow,Univ. of Glasgow,,,,,,,,
University of London,UK,Academia,"Royal Holloway, University of London","Royal Holloway College, University of London",RHUL,London Business School,,,,,,
University of Newcastle,UK,Academia,Univ of Newcastle,Univ. of Newcastle,,,,,,,,
University of Nottingham,UK,Academia,Univ of Nottingham,Univ. of Nottingham,,,,,,,,
University of Oxford,UK,Academia,Univ of Oxford,Univ. of Oxford,Oxford University,Univ. Oxford,,,,,,
University of Plymouth,UK,Academia,,,,,,,,,,
University of Sheffield,UK,Academia,Univ of Sheffield,Univ. of Sheffield,,,,,,,,
University of Southampton,UK,Academia,,,,,,,,,,
University of St. Andrews,UK,Academia,,,,,,,,,,
University of Stirling,UK,Academia,,,,,,,,,,
University of Sussex,UK,Academia,Univ of Sussex,Univ. of Sussex,,,,,,,,
